date,event
12/22/2025,"แรงซื้อยังแผ่ว ! Bitcoin แกว่งตัวแคบต่ำกว่า $90,000 ขณะที่ Ethereum ยืนเหนือ $3,000 ได้สำเร็จ"
12/22/2025,"ฝันร้ายหลักหมื่นล้าน! ย้อนรอยคดีแฮก Bitcoin ครั้งประวัติศาสตร์ 25,000 BTC ที่ไม่มีวันได้คืน"
12/22/2025,Bitcoin ปิดไตรมาส 4 ปี 2025 แย่สุดเป็นอันดับ 2 ในประวัติศาสตร์ สวนทางสถิติในอดีต
12/22/2025,กูรูไซเบอร์ชี้ Bitcoin อาจต้องใช้เวลา 5-10 ปี กว่าจะย้ายระบบจนสามารถป้องกัน “ควอนตัม” ได้
12/21/2025,ไม่มีแผ่ว! Michael Saylor โพสต์ X ส่งสัญญาณเตรียมซื้อ Bitcoin เพิ่ม
12/21/2025,"เจ้ามือยุค Satoshi กลับมาเคลื่อนไหวอีกครั้ง พร้อมช้อนซื้อ Bitcoin 2,509 BTC"
12/21/2025,"วาฬกลับลำ! James Wynn ปิด Short BTC ฟันกำไร 21,000 ดอลลาร์ก่อนเปิด Long 40x มูลค่า 1.24 ล้านดอลลาร์ ลุ้นเดือดทั้งตลาด"
12/21/2025,CryptoQuant ชี้สัญญาณอันตราย ความต้องการ Bitcoin ลดฮวบ เตรียมเข้าสู่ตลาดหมีรอบใหม่
12/20/2025,"Tom Lee เตือน Bitcoin อาจร่วงถึง 60,000 ดอลลาร์ พร้อมเน้นย้ำ “เป็นแค่การปรับฐาน ไม่ใช่จุดจบ”"
12/20/2025,Adam Back ออกโรงเตือนอย่าตื่นตระหนก หลัง Nick Carter เปิดประเด็นภัยคุกคามควอนตัมต่อ Bitcoin
12/20/2025,"Fidelity คาดการณ์ Bitcoin อาจมีมูลค่าสูงถึง 1,000 ล้านดอลลาร์ภายในปี 2038"
12/20/2025,เจ้ามือบ้าเลือด! เปิด Short Bitcoin กว่า 99 ล้านดอลลาร์ด้วย leverage กว่า 40X
12/18/2025,Bitwise ชี้ชัด! ความผันผวน Bitcoin ต่ำกว่า Nvidia สะท้อนฐานนักลงทุนสถาบันที่แข็งแกร่งขึ้น
12/18/2025,"เจ้ามือ Bitcoin เดินเกมเงียบ! สะสม BTC กว่า 23,000 ล้านดอลลาร์ ท่ามกลางช่วงปรับฐานราคา"
12/18/2025,Bitcoin แกว่งหนัก นักเทรดพอร์ตแตกรวมกันกว่า 300 ล้านดอลลาร์ภายในไม่กี่ชั่วโมง เกิดอะไรขึ้น?
12/18/2025,จิม เครเมอร์ ชี้ “เจ้ามือ” BTC ตุนของมากสุดรอบ 13 ปี ดันราคาขึ้นเหมือน “ดนตรียังคงบรรเลงอยู่”
12/17/2025,สถาบัน – exchange ยักษ์ใหญ่ ทุ่ม 2.2 พันล้านดอลล์ กวาด BTC 2.5 หมื่นเหรียญ ดักทางก่อน “ทรัมป์” แถลง!
12/15/2025,เจ้าพ่อ Bitcoin ลุยแหลก! Michael Saylor ทุ่มอีกเกือบ 1 พันล้านดอลล์ กวาด BTC เข้าพอร์ตทะลุ 6.7 แสนเหรียญ
12/15/2025,"จับตา 3 ตัวเลขเศรษฐกิจ ชี้ชะตา Bitcoin ลุ้นระทึกฝ่าด่าน $90,000 หรือร่วงยับ 15-19 ธันวาคมนี้ !"
12/15/2025,Willy Woo ชี้ หากควอนตัมแฮ็กกระเป๋า Satoshi ได้จริง นักลงทุนรุ่นเก๋าพร้อมเข้าซื้อ Bitcoin ทันที
12/15/2025,เจ้ามือเปิด Short Bitcoin มูลค่าเกือบ $90 ล้าน เดิมพันสวนตลาด
12/14/2025,Michael Saylor ส่งสัญญาณเตรียมนำทัพ Strategy ช้อน Bitcoin เพิ่ม
12/14/2025,"นักวิเคราะห์เตือนราคา Bitcoin เสี่ยงหลุดทะลุ $70,000 หากญี่ปุ่นปรับขึ้นอัตราดอกเบี้ย"
12/14/2025,"Bitcoin ใกล้เลือกทิศทาง! นักวิเคราะห์เตือนผันผวนหนัก หากหลุด 89,000 ดอลลาร์ อาจไหลถึง 86,000 ดอลลาร์"
12/14/2025,"เจ้ามือคริปโตเขย่าตลาด เทขาย Bitcoin กว่า 1,900 BTC เปลี่ยนเป็น Ethereum ภายในไม่กี่วัน"
12/14/2025,ธนาคารกลางอินเดีย ชี้ Bitcoin “ไม่มีมูลค่าที่แท้จริง” แต่ราคากลับวิ่งตามสภาพคล่องอินเดีย?
12/13/2025,ลาบูบู้ดิจิทัล? CEO Vanguard เปรียบ Bitcoin เป็นแค่ของสะสม แม้ทางบริษัทจะเปิดให้ซื้อ Bitcoin ETF
12/13/2025,ครบรอบ 15 ปีการหายตัวไปของ Satoshi Nakamoto โพสต์นี้คือช่วงเวลาที่ Bitcoin ต้องยืนหยัดด้วยตัวเอง
12/13/2025,นักขุด Bitcoin ดวงเฮงขุดเจอบล็อก 927274 ฟาด Bitcoin ไปเน้น ๆ 3.133 BTC
12/13/2025,ธนาคารยักษ์ใหญ่ของบราซิล Itau Unibanco  แนะให้แบ่งเงิน 3% ในพอร์ตมาลงทุน Bitcoin
12/12/2025,สัญญาณน่าเป็นห่วง! บริษัทคลัง Bitcoin ทั่วโลกกว่า 65% ขาดทุนสะสม แม้ยังกอดเหรียญแน่น
12/12/2025,จับตา 4 กราฟสำคัญ ! วิเคราะห์แนวโน้มราคา Bitcoin ก่อนเข้าสู่ช่วงคริสต์มาส
12/12/2025,พายุคริปโตจ่อถล่ม? ออปชัน BTC–ETH มูลค่า $4.5 พันล้านหมดอายุวันนี้ นักลงทุนผวาความผันผวนหนัก
12/11/2025,CZ ฟันธง! สาวถูกหวยเลือกผิด? แนะรับเงินก้อนล้านดอลล์มา “Ape Bitcoin” รวยกว่ารับรายสัปดาห์
12/11/2025,ปิดฉาก $90k! Bitcoin เติม “CME Gap” สำเร็จ กูรูชี้เทรนด์ใหม่ “มาไวเคลมไว”
12/11/2025,“พิชัย จาวลา” เผยคำทำนายใหม่ ! Bitcoin อาจพุ่งถึงระดับนี้ก่อนร่วงแรง
12/11/2025,ไขปริศนา Bitcoin ที่ซ่อนอยู่ในเกมยุค 90 ! เบาะแสใหม่โผล่ทำชุมชนเชื่อ Hal Finney คือ Satoshi
12/11/2025,“ชายฉลาดที่สุดในโลก” ฟันธง! Bitcoin จะเข้ามาแทนดอลลาร์ในปี 2026 : 1 BTC จะพุ่งถึงเท่าไหร่?
12/11/2025,Cathie Wood ฟันธง! วัฏจักร 4 ปีของ Bitcoin แตกต่างไปแล้ว เมื่อสถาบันเริ่มคุมราคา
12/11/2025,Bitcoin จากดาร์กเว็บเคลื่อนไหวครั้งแรกในรอบทศวรรษ สัญญาณอะไรซ่อนอยู่เบื้องหลัง?
12/11/2025,"ดอกเบี้ยลดไม่ช่วย ? สัญญาณตลาดออปชั่นชี้ชัด รายใหญ่ไม่มั่นใจ Bitcoin แตะ $100,000 ต้นปีหน้า"
12/10/2025,"ระเบิดเวลาลูกใหญ่! นักลงทุนขา Short จ่อโดนล้างพอร์ต 1.59 พันล้านดอลลาร์ หาก Bitcoin ทะลุ $95,076"
12/10/2025,"อย่าเพิ่งตกใจ! SpaceX โยกเหรียญอีกครั้ง 1,021 BTC เฉียดร้อยล้านดอลล์ ยันชัดแค่จัดพอร์ต ไม่ได้เทขาย"
12/10/2025,Bernstein เผย cycle 4 ปีของ Bitcoin ใช้ไม่ได้ผลแล้วและอาจได้เห็นขาขึ้นยืดเยื้อถึง 2026
12/10/2025,รายงานเผยยอดถือครอง Bitcoin ของบริษัทมหาชนโลกพุ่ง 448% นับแต่ปี 2023
12/10/2025,Michael Saylor ชี้จีนจะก็อปกลยุทธ์ Bitcoin ของสหรัฐฯ
12/10/2025,Bitcoin โผล่ Times Square พร้อมวลี “ไม่มีใครควรทำงานเพื่อให้ได้มาซึ่งสิ่งที่บางคนพิมพ์ขึ้นมาได้”
12/9/2025,เปลี่ยน BTC เป็น Cash Flow! Strategy เผยกลยุทธ์ “Digital Credit” สร้างรายได้แม้ตลาดผันผวน
12/9/2025,สัญญาณเตือน BTC ขาดตลาด! ถูกดูดออกจากกระดานเทรดกว่า 2.3 แสนเหรียญ คงเหลือร่วงต่ำสุดรอบ 6 ปี
12/9/2025,"Santiment เผยสัญญาณบวกต่อราคา Bitcoin ชี้ 400,000 BTC ถูกโอนย้ายออกจากกระดานเทรด"
12/9/2025,ซีอีโอ Strategy ลั่นออกทีวี ! “ไม่มีวันขาย Bitcoin จนกว่าจะถึงปี 2065”
12/9/2025,เผย 3 สาเหตุที่ทำให้ Grayscale เชื่อว่ารอบนี้ Bitcoin จะหลุดจากกรอบวัฏจักร 4 ปี
12/9/2025,10x Research เตือน Bitcoin อาจร่วงหนัก 60% จากแรงกดดันเลือกตั้งกลางเทอมสหรัฐฯ ปี 2026
12/8/2025,Strategy กวาด Bitcoin เพิ่มอีกกว่า 1 หมื่นเหรียญ! ดันยอดถือครองรวมทะลุ 6.6 แสน BTC ท่ามกลางตลาดผันผวน
12/8/2025,จับตา! Twenty One Capital โยกย้าย BTC มูลค่ากว่า 4 พันล้านดอลลาร์ เตรียมเข้าเทรด NYSE พรุ่งนี้ สยบข่าวลือ
12/8/2025,Peter Brandt ชี้ชัด! สัญญาณใหม่บอก Bitcoin อาจร่วงต่อ หลังแรงดีดตัวใกล้หมดลม
12/8/2025,‘แบงก์ชาติแคนาดา’ ทุ่ม 8.7 พันล้านบาท เข้าลงทุน Bitcoin ทางอ้อม ผ่านหุ้น Strategy
12/7/2025,"Mark Yusko ฟันธง “Bitcoin ชนะแล้ว” และจะเป็นสกุลเงินแห่งอนาคตไปอีก 5,000 ปี"
12/7/2025,ธนาคาร BPCE ของฝรั่งเศสเตรียมไฟเขียวให้ลูกค้าซื้อ Bitcoin ได้โดยตรง
12/7/2025,"สถาบันการเงินยักษ์ใหญ่ของโลก Vanguard ถือหุ้น Strategy ร่วม 3,200 ล้านดอลลาร์"
12/7/2025,ผู้เชี่ยวชาญชี้ จุดต่ำสุดของ Bitcoin กำลังใกล้เข้ามา เตรียมร่วงอีกรอบก่อนไปต่อ
12/6/2025,เจ้ามือ Bitcoin หายจากตลาด! ราคาอ่อนแรงต่อเนื่อง ตลาดเข้าสู่โหมดเงียบที่สุดในรอบหลายเดือน
12/6/2025,"Casascius 2 เหรียญ มูลค่า 2,000 BTC เคลื่อนไหวครั้งแรกในรอบกว่า 13 ปี “Bitcoin ยุคโบราณ” กลับมาเคลื่อนไหว"
12/6/2025,สถิติชี้ชัด “หากคุณถือ Bitcoin เอาไว้เกิน 3 ปี โอกาสขาดทุนแทบเป็นศูนย์”
12/6/2025,มหาเศรษฐีเม็กซิโอคิดทุ่มพอร์ต 100% ไปถือ Bitcoin ตอกย้ำกระแสยอมรับ Bitcoin ในหมู่นักลงทุนรายใหญ่
12/6/2025,"นักลงทุนที่ซื้อ Bitcoin 1,000 BTC เมื่อ 13 ปีก่อนที่ราคา $11,500 เทขาย Bitcoin ทั้งหมดทิ้งฟันกำไร 89.3 ล้านดอลลาร์"
12/5/2025,“Saylor” ค้านหัวชนฝา! ชี้ Bitcoin ไม่ควรมี Privacy แบบ Zcash หวั่นเป็นข้ออ้างให้รัฐบาลสั่งปิด
12/5/2025,"JPMorgan ฟันธง! “MicroStrategy” คุมเกมราคา Bitcoin เหนือกว่าเหมืองขุด ลุ้นเป้า $170,000"
12/5/2025,ภาพประวัติศาสตร์! “Michael Saylor” พบ “CZ” กลางงานที่ดูไบ ลั่นแคปชันเด็ด “The Great Bitcoin Exchange”
12/5/2025,รายงานเผย Binance เทขาย Bitcoin ทิ้งก่อนซื้อกลับ ล้าง Long แตกร่วม 100 ล้านดอลลาร์
12/5/2025,Eric Trump โชว์ของ “บริษัทในอเมริกาคือเบอร์ 1 ของโลกที่ถือ Bitcoin มากที่สุด”
12/5/2025,"เจ้ามือยุค Satoshi comeback ในรอบ 15 ปี พร้อมกระหน่ำซื้อ Bitcoin 33,000 BTC มูลค่า 3,100 ล้านดอลลาร์"
12/5/2025,Michael Saylor ชี้ Bitcoin จะมูลค่าแตะ 20 ล้านล้านดอลลาร์ในอีก 4–8 ปีข้างหน้า
12/5/2025,"สส.สหรัฐฯ Marjorie Greene ช้อนซื้อ Bitcoin ตอนราคาเหรียญร่วงแรงแตะ $80,000"
12/5/2025,CZ ชนะดีเบต Bitcoin vs Gold หลังยื่นทองให้ Peter Schiff ตรวจสอบแล้วระบุไม่ได้ว่าทองคำที่ถือจริงหริอปลอม
12/4/2025,อัจฉริยะหรือราคาคุย? หนุ่มเกาหลีอ้าง IQ 276 สูงที่สุดในโลก เผย “ผมซื้อ Bitcoin ทุกวัน”
12/4/2025,"ซีอีโอ CryptoQuant เชื่อ ! Bitcoin จะไม่ดิ่งหนัก ตราบใดที่ Strategy ยังนอนกอด 650,000 BTC"
12/4/2025,"ซีอีโอ Ripple ฟันธง ! Bitcoin จะพุ่งแตะระดับ $180,000 ภายในสิ้นปี 2026"
12/4/2025,ลือสนั่น ! รัฐบาลสหรัฐฯ เตรียมซื้อ Bitcoin? หลัง ส.ว. Lummis แย้ม “เรื่องใหญ่” กำลังมา
12/4/2025,ดวงโหดเกินมนุษย์! เซียนเดิมพันราคา Bitcoin ไม่พลาด 12 ครั้งติด เปลี่ยนเงิน 400 เป็นเกือบล้านบาท
12/3/2025,นักลงทุนชื่อดังลั่น ! อยากสร้างบริษัทแบบ Strategy แต่เก็บทองคำแทน Bitcoin
12/3/2025,รอบนี้ไม่เหมือนเดิม ! Grayscale ฟันธง Bitcoin เตรียมฉีกตำรา “วัฏจักร 4 ปี” และทำจุดสูงสุดใหม่ในปี 2026
12/3/2025,ช็อกตาแตก! ทองคำแซง Bitcoin ขาดลอย ผลตอบแทนพุ่ง +58% ขณะที่ BTC ดิ่ง -12% หลังเปิดตัว Spot ETF
12/3/2025,ตำนานขาชอร์ต Michael Burry กลับมาโจมตีคริปโตอีกระลอก ลั่น “Bitcoin ไม่มีค่า”
12/2/2025,สถิติไร้พ่ายจบแล้ว! Trader 0xFC78 ยอมตัดขาดทุน Short BTC สูญเงิน 1.78 ล้านดอลล์
12/2/2025,"Bitcoin ดีดกลับมายืนเหนือ $89,000! นักลงทุนเฮรับธันวาคม คาดหวัง “ซานต้ารแรลลี่”"
12/2/2025,BlackRock ลูกค้าเทขาย Bitcoin กว่า 74 ล้านดอลลาร์! สัญญาณปรับฐานหรือแค่ปรับพอร์ต?
12/2/2025,Strategy ไม่หวั่นต่อเสียงวิจารณ์ ซื้อ Bitcoin เพิ่ม 130 BTC พร้อมตั้งคลังเงินสำรอง 1.4 พันล้านดอลลาร์
12/2/2025,"ราคา Bitcoin ดิ่งหลุด $84,000 ชั่วคราว ! BTC เผชิญสัปดาห์ชี้ชะตา “แท่งเทียนปี 2025” จะเป็นสีเขียวหรือแดง ?"
12/1/2025,จบรอบมนต์ขลัง? MicroStrategy ร่วงยับ -55% สังเวยความกังวล “หนี้สิน” และ “ขาใหญ่ทิ้งของ”
12/1/2025,"BlackRock เทขาย 2,150 BTC! กดดัน Bitcoin ร่วงแตะ $86,000 ก่อน “พาวเวลล์” แถลงคืนนี้ สัญญาณเตือนภัยข่าวร้าย?"
12/1/2025,ดร.นิเวศน์ “วอร์เรน บัฟเฟตต์ เมืองไทย” เผย ! ทองคำ VS บิทคอยน์ ตัวไหนน่าลงทุนกว่ากัน ?
12/1/2025,Elon Musk ยืนยัน! โลกอนาคตจะเหลือแต่สกุลเงินจากพลังงาน : หรือ Bitcoin จะเป็นสิ่งเดียวที่เหลือรอด ?
12/1/2025,CEO ของ MicroStrategy เผย หากสิ่งนี้เกิดขึ้น บริษัทจะขาย Bitcoin
11/30/2025,"Mike McGlone เตือน “ฝันร้ายวันคริสต์มาส” กำลังจะมา Bitcoin อาจร่วงแตะ 50,000 ดอลลาร์"
11/30/2025,"Bitcoin พุ่งอย่างรุนแรงแตะ 92,000 ดอลลาร์ หลังเจอแรงซื้อโถมเข้าอย่างรุนแรงในวันนี้"
11/30/2025,"เสี่ยงแตกหนัก! นักเทรดสาย short เตรียมพอร์ตแตกร่วม 8,000 ล้านดอลลาร์หาก Bitcoin แตะ $100,000"
11/30/2025,จีนประกาศ “คริปโตไร้สถานะทางกฎหมาย” พร้อมสั่งคุมเข้มการใช้งาน หลังกระแสเก็งกำไรพุ่งสูงขึ้น
11/29/2025,ต้องดู! Michael Saylor เปิด “21 กฎแห่ง Bitcoin” คัมภีร์ที่ผู้ศรัทธาต้องรู้
11/29/2025,คริปโตไม่ใช่ “สนามเด็กเล่น” อีกต่อไป CEO CryptoQuant ชี้ คริปโตกำลังก้าวสู่การลงทุนแบบ”จริงจัง”
11/29/2025,Cathie Wood ย้ำเป้า Bitcoin แตะ 1.5 ล้านดอลลาร์ยังไม่เปลี่ยน ขณะที่ตลาดคริปโตเริ่มฟื้น
11/29/2025,"เว็บเทรดใหญ่แห่เทขาย Bitcoin กว่า 2,500 ล้านดอลลาร์ ก่อนประชุมด่วน Fed จะมาใน 4 ชั่วโมง"
11/29/2025,"Arthur Hayes ชี้ Bitcoin อาจพุ่งแตะ $250,000 หาก Fed กลับมา “พิมพ์เงินอัดเข้าระบบ” อีกครั้ง"
11/28/2025,Inverse Cramer แม่นอีกแล้ว! Bitcoin พุ่ง 11.5% หลัง Jim Cramer ทัก “สถานการณ์ไม่ดี”
11/28/2025,ชายเดิมพันชีวิตทุ่มเงินกองทุนเกษียณทั้งหมดลง Bitcoin เปลี่ยนเงิน 4.8 ล้าน เป็น 115 ล้าน
11/28/2025,CryptoQuant เผย ! สาเหตุราคา Bitcoin ดิ่งแรง เกิดจาก ‘เจ้ามือยุคแรก’ เทขายทำกำไร
11/27/2025,กองทุน ‘IBIT’ BlackRock ก้าวขึ้นสู่ระดับเดียวกับ “หุ้น 7 นางฟ้า” หลัง Nasdaq เพิ่มลิมิตออปชั่นใหม่
11/27/2025,เตือนนักเทรด! อินดิเคเตอร์ชี้ Bitcoin จบรอบ ‘ตลาดกระทิง’ ส่อแววพลิกตัวเป็นขาลง?
11/27/2025,SpaceX ขยับ ! โอนย้าย Bitcoin มูลค่า 3.3 พันล้านบาท จุดกระแสข่าวลือเตรียมขายเหรียญ
11/26/2025,"Bitcoin Options $1.3 หมื่นล้านจ่อหมดอายุศุกร์นี้! Max Pain $101,000 ชี้เป้าราคาอาจดีดกลับแรง"
11/26/2025,"นักลงทุนสถาบันแห่เทขาย Bitcoin ETF ของ BlackRock แม้ราคา BTC ฟื้นตัวกลับมาแตะ $88,000"
11/26/2025,JP Morgan เสนอผลิตภัณฑ์เลเวอเรจใหม่ ! ช่วยให้นักลงทุนได้รับผลตอบแทนมหาศาล หาก BTC พุ่งสูงในปี 2028
11/26/2025,Bitfinex ชี้! ความต้องการ Bitcoin อาจกำลังกลับมา แม้เดือน พ.ย. จะปิดราคาแดงติดลบ
11/26/2025,อดีตแฟนหนุ่ม Sam Altman ถูกคนร้ายชักปืนจ่อถึงบ้าน ขโมย Bitcoin และ ETH ไปได้กว่า 350 ล้านบาท
11/25/2025,Jack Dorsey จุดพลุ! Square เปิดรับ Bitcoin จ่ายได้เหมือนบัตรเครดิต ด้วย “ค่าธรรมเนียม 0%” สำหรับธุรกิจ SME
11/25/2025,Metaplanet ไม่หวั่นขาดทุน! กู้ Bitcoin $130 ล้าน เพื่อซื้อ BTC เพิ่ม ตอกย้ำกลยุทธ์ “MicroStrategy แห่งญี่ปุ่น”
11/25/2025,ตลาดคริปโตดีดกลับ! นักวิเคราะห์เตือน อาจฟื้นตัวแค่ชั่วคราว ก่อนกลับสู่ขาลงครั้งใหญ่
11/25/2025,"Eric Trump พาทัวร์เหมือง Bitcoin เครื่องขุด 35,000 เครื่อง ตอบโต้ข้อครหาคริปโต “จับต้องไม่ได้”"
11/25/2025,รวบตัวชายชาวรัสเซียใช้ ‘ระเบิดมือปลอม’ ขู่พนักงานเว็บเทรดคริปโตบังคับโอน Bitcoin
11/25/2025,"ChatGPT และ Grok คาดราคา Bitcoin จะพุ่งแตะ $250,000 ภายในปี 2026 หรือไม่ ?"
11/25/2025,แซวกันไปมา ! นักเทรดสายชอร์ตชื่อดังวิจารณ์ Michael Saylor ไม่กล้าซื้อ Bitcoin ตอนราคาดิ่ง
11/24/2025,เจ้ามือนิรนามเปิด Long มูลค่า $53.4 ล้าน ก่อน Trump เซ็นคำสั่งผู้บริหาร Bitcoin ฟันกำไร $1.1 ล้าน
11/24/2025,โวลุมสินเชื่อค้ำด้วย Bitcoin พุ่ง 10 เท่าใน 2 เดือน บ่งชี้สถาบันกำลังเร่งใช้ BTC เป็นหลักประกัน
11/24/2025,นักลงทุนแห่ปิดบัญชีกับ JP Morgan หลายพันราย หลังสงสัย “จงใจโจมตี Bitcoin และผู้ถือหุ้น MSTR“
11/24/2025,"กองทุน Bitcoin ETF เงินลงทุนไหลออก สูงสุดเป็นประวัติการณ์! รวมกว่า $3,790 ล้าน ในเดือนพ.ย."
11/24/2025,สาวก Bitcoin รวมพลังบอยคอต JP Morgan หลัง MSCI จ่อถอดหุ้นคริปโทฯ ออกจากดัชนีหลัก
11/24/2025,‘พ่อรวยสอนลูก’ เผย เป็นหนี้ $1.2 พันล้าน แต่ไม่ได้กังวล ชี้ถ้าผมล้ม ธนาคารก็ล้ม
11/23/2025,Michael Saylor มั่นใจไร้กังวลเรื่องถูกล้างพอร์ตพร้อมบอก “แค่ Bitcoin ขยับขึ้นปีละ 1.25% ก็อยู่ได้ยาวถึงชาติหน้า”
11/23/2025,"ตลาดสะเทือน! เม็ดเงินกว่า 11,000 ล้านดอลลาร์ จ่อถูกล้างพอร์ต หาก Bitcoin พุ่งแตะ $101,000"
11/23/2025,Michael Saylor ชี้! เป็นบริษัทซอฟต์แวร์มูลค่า 500 ล้านดอลลาร์ที่ถือ Bitcoin และไม่ได้ขายมัน
11/22/2025,"Solo Miner สุดเฮง! ขุดบล็อก Bitcoin สำเร็จด้วยกำลังขุดเพียง 1.2 TH/s คว้ารางวัลกว่า 266,000 ดอลลาร์"
11/22/2025,ข่าวด่วน! ชาวอเมริกันอาจจ่ายภาษีด้วย Bitcoin ได้ในเร็ว ๆ นี้ หลังสมาชิกรัฐสภายื่นร่างกฎหมายใหม่
11/22/2025,นี่คือจุดเริ่มต้นของตลาดขาลงหรือไม่? สิ่งที่นักเทรดควรจับตามองหลัง Bitcoin ร่วงต่อเนื่อง
11/22/2025,"Tether ทุ่มซื้อ Bitcoin เพิ่มอีก 1,000 ล้านดอลลาร์ ดันยอดถือสะสมทะลุ 7,620 ล้านดอลลาร์"
11/22/2025,Fidelity โหมเงินทุ่มซื้อ Bitcoin 108 ล้านดอลลาร์ ขณะที่รายย่อยยังกลัวราคาร่วงต่อ
11/22/2025,Michael Saylor ย้ำ “การดิ่งลงของราคา Bitcoin จะเกิดเพียงชั่วคราว เดี๋ยวมันก็กลับมาทำ All Time High”
11/21/2025,เจ้ามืออาศัยช่วงชุลมุนที่นักลงทุนหวาดกลัวช้อนซื้อ Bitcoin กว่า 377 ล้านดอลลาร์
11/21/2025,Bitcoin มุ่งหน้าสู่เดือนที่แย่ที่สุด ! นับตั้งแต่ตลาดคริปโตล่มสลายในปี 2022
11/21/2025,"Metaplanet ไม่ถอย ! ระดมทุน 4,300 ล้านบาทซื้อ Bitcoin เพิ่ม ฝ่าความกังวลตลาดขาลง"
11/21/2025,"ญี่ปุ่นไฟเขียว อนุมัติแพ็กเกจกระตุ้นเศรษฐกิจ $110,000 ล้าน : Bitcoin จะได้รับประโยชน์หรือไม่ ?"
11/21/2025,แฟนคลับ Bitcoin แตกตื่น! หลัง Scott Bessent ขุนคลังสหรัฐฯ เดินเข้าบาร์ Bitcoin แบบไม่นัดล่วงหน้า
11/21/2025,ทำไมชาวเอเชีย ถึงยังซื้อ Bitcoin ในขณะที่ชาวอเมริกันกำลังเทขาย?
11/21/2025,"Bitwise เตือนจุดเจ็บปวดกำลังมา! จับตาโซน Bitcoin $84,000–$73,000 อาจเป็นช่วงชี้ชะตาตลาด"
